note_id,name,type,locale,title,content,content_data,status,source,date_created,date_reminder,is_snoozable,layout,image,is_deleted,is_read,icon
1,new_in_app_marketplace_2021,info,en_US,Customize your store with extensions,"Check out our NEW Extensions tab to see our favorite extensions for customizing your store, and discover the most popular extensions in the WooCommerce Marketplace.",{},unactioned,woocommerce.com,2022-03-15 20:26:41,,0,plain,"",1,0,info
2,wayflyer_bnpl_q4_2021,marketing,en_US,Grow your business with funding through Wayflyer,"Fast, flexible financing to boost cash flow and help your business grow – one fee, no interest rates, penalties, equity, or personal guarantees. Based on your store’s performance, Wayflyer provides funding and analytical insights to invest in your business.",{},pending,woocommerce.com,2022-03-15 20:26:41,,0,plain,"",0,0,info
3,wc_shipping_mobile_app_usps_q4_2021,marketing,en_US,Print and manage your shipping labels with WooCommerce Shipping and the WooCommerce Mobile App,"Save time by printing, purchasing, refunding, and tracking shipping labels generated by <a href=""https://woocommerce.com/woocommerce-shipping/"">WooCommerce Shipping</a> – all directly from your mobile device!",{},pending,woocommerce.com,2022-03-15 20:26:43,,0,plain,"",0,0,info
4,wc_shipping_mobile_app_q4_2021,marketing,en_US,Print and manage your shipping labels with the WooCommerce Mobile App,"Save time by printing, purchasing, refunding, and tracking shipping labels generated by <a href=""https://woocommerce.com/woocommerce-shipping/"">WooCommerce Shipping</a> – all directly from your mobile device!",{},pending,woocommerce.com,2022-03-15 20:26:45,,0,plain,"",0,0,info
5,ecomm-need-help-setting-up-your-store,info,en_US,Need help setting up your Store?,"Schedule a free 30-min <a href=""https://wordpress.com/support/concierge-support/"">quick start session</a> and get help from our specialists. We’re happy to walk through setup steps, show you around the WordPress.com dashboard, troubleshoot any issues you may have, and help you the find the features you need to accomplish your goals for your site.",{},pending,woocommerce.com,2022-03-15 20:26:46,,0,plain,"",0,0,info
6,woocommerce-services,info,en_US,WooCommerce Shipping & Tax,"WooCommerce Shipping &amp; Tax helps get your store ""ready to sell"" as quickly as possible. You create your products. We take care of tax calculation, payment processing, and shipping label printing! Learn more about the extension that you just installed.",{},pending,woocommerce.com,2022-03-15 20:26:47,,0,plain,"",0,0,info
7,ecomm-unique-shopping-experience,info,en_US,For a shopping experience as unique as your customers,"Product Add-Ons allow your customers to personalize products while they're shopping on your online store. No more follow-up email requests—customers get what they want, before they're done checking out. Learn more about this extension that comes included in your plan.",{},pending,woocommerce.com,2022-03-15 20:26:48,,0,plain,"",0,0,info
8,wc-admin-getting-started-in-ecommerce,info,en_US,Getting Started in eCommerce - webinar,We want to make eCommerce and this process of getting started as easy as possible for you. Watch this webinar to get tips on how to have our store up and running in a breeze.,{},pending,woocommerce.com,2022-03-15 20:26:48,,0,plain,"",0,0,info
9,your-first-product,info,en_US,Your first product,"That’s huge! You’re well on your way to building a successful online store — now it’s time to think about how you’ll fulfill your orders.<br /><br />Read our shipping guide to learn best practices and options for putting together your shipping strategy. And for WooCommerce stores in the United States, you can print discounted shipping labels via USPS with <a href=""https://href.li/?https://woocommerce.com/shipping"" target=""_blank"">WooCommerce Shipping</a>.",{},pending,woocommerce.com,2022-03-15 20:26:50,,0,plain,"",0,0,info
10,wc-admin-optimizing-the-checkout-flow,info,en_US,Optimizing the checkout flow,It’s crucial to get your store’s checkout as smooth as possible to avoid losing sales. Let’s take a look at how you can optimize the checkout experience for your shoppers.,{},pending,woocommerce.com,2022-03-15 20:26:51,,0,plain,"",0,0,info
